Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
Q8C5L3,CNOT2_MOUSE,Cnot2,CCR4-NOT transcription complex subunit 2,2,2,,18334,,,,16919.9,18115.4,,,,,,,,8385.7,,,,15243.7,,14824,,18927.3,14255.9,,,,,,,27039.9,,,,,,87280.6,106331,38894.3,,457884,,
Q9CWN7,CNO11_MOUSE,Cnot11,CCR4-NOT transcription complex subunit 11,2,2,,,,,,,,,,,,,,,,,,,,,,84684.3,,,,,,,,,,,,,,,,,64469.7,,,,
Q8BH15,CNO10_MOUSE,Cnot10,CCR4-NOT transcription complex subunit 10,6,6,,,,,89724.8,62012.2,,,84233.7,50204.3,32754.8,17636.4,58905.2,29317.6,14892,,,,,,,,,,,,,,,,,,,,,,,122342,61153.8,,,33502.7,
Q6ZQ08,CNOT1_MOUSE,Cnot1,CCR4-NOT transcription complex subunit 1,51,51,,70322.2,,38819.6,,264287,85169.5,47316.7,,266035,138458,48467,,82018.5,102718,79041.6,90048.9,,,,,100847,56491.9,,,,,,89909.3,74192.6,110802,,,,,76675,,287338,225406,,843571,419485,
Q69ZF7,CNNM4_MOUSE,Cnnm4,Metal transporter CNNM4,8,8,,,,,98778.8,105757,,61801.2,,189864,,,,,,,,,,,,100084,,,,,,,,,,,,,,,,,382947,,,,
Q32NY4,CNNM3_MOUSE,Cnnm3,Metal transporter CNNM3,4,3,,,,,,42065,,,49128.9,60498.1,,,,,,,,,,,,,49570.6,,,,,,,,,,,,,,,,38255.7,,,,
Q3TWN3,CNNM2_MOUSE,Cnnm2,Metal transporter CNNM2,8,8,,,,45492.9,49130.7,52711.7,,47727,51810.8,73025.7,,68222.9,46620.6,59314,,,,82440.5,,,,,,,,86869.8,,,,49633.8,,,,,,,,,,,,,
A0A286YDL2,A0A286YDL2_MOUSE,Cnnm1,Metal transporter,14,11,,88280.8,,96324.2,344395,53947.3,,84698.5,296266,109899,,71063.5,235763,78486.8,,,,85813,,,72050.5,,,,,,,,,,,,,,,,,,,,,,
Q9DAW9,CNN3_MOUSE,Cnn3,Calponin-3,8,8,,,,175777,,63866.8,92291.7,160464,,74805.8,147222,141139,,188618,109092,,,160703,173397,302144,481537,,1.26E+06,500332,1.02E+06,681371,,278150,404253,222550,593768,,,,,372365,,130664,43025.8,,,,
Q08093,CNN2_MOUSE,Cnn2,Calponin-2,13,12,,,,120898,,,,84306.3,,,,,,,,,,783312,,171813,226197,,598179,192791,,,,,,,3.64E+06,,,,,324581,,205445,,,,,
Q08091,CNN1_MOUSE,Cnn1,Calponin-1,10,10,,,,,,,,,,,,,,,,126846,,,,60305.8,,,563157,275931,,,,277747,,,2.21E+06,,,,,177156,856019,,35337.2,,403307,207432,
Q8BMA3,CNKR3_MOUSE,Cnksr3,Connector enhancer of kinase suppressor of ras 3,2,2,,,,,,,,,,,,,,,,55130.4,56430.1,125360,,,,1.12E+06,,,,,,,,,,,,,,56475.6,,,,,,,
Q80YA9,CNKR2_MOUSE,Cnksr2,Connector enhancer of kinase suppressor of ras 2,46,45,2.96E+06,5.47E+06,1.60E+06,371398,3.60E+06,4.00E+06,315530,346708,2.76E+06,4.14E+06,278696,464156,2.86E+06,2.88E+06,291626,1.54E+06,1.38E+06,,318235,528767,870402,,,,,,,,,,,,,,,,,,,,,,
Q9CX13,CNIH4_MOUSE,Cnih4,Protein cornichon homolog 4,1,1,,,,373866,125782,703899,,289732,,554729,,226526,,48071.9,,,,,,,,,1.07E+06,,,,,,,111964,308313,,,,,,,,789855,,7.55E+06,3.16E+06,
O35089,CNIH2_MOUSE,Cnih2,Protein cornichon homolog 2,1,1,,,,,,118501,,,,80254.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3UJ81,NEPR1_MOUSE,Cnep1r1,Nuclear envelope phosphatase-regulatory subunit 1,2,2,,,,6080.16,,53359.5,,,,38529.2,,7396.89,,30399.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9D1A2,CNDP2_MOUSE,Cndp2,Cytosolic non-specific dipeptidase,35,35,489905,384897,636204,984413,,107955,1.44E+06,932557,,170304,1.40E+06,1.07E+06,,414157,1.40E+06,239735,272723,379967,610045,851356,746078,,1.28E+06,3.70E+06,4.42E+06,433301,,609363,8.46E+06,5.46E+06,2.17E+06,,,,3.39E+06,674473,495040,2.04E+06,1.24E+06,,1.19E+06,454249,
Q9DBC3,CMTR1_MOUSE,Cmtr1,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,14,8,,,,,69613.6,87716.3,37498.7,,103325,95476.4,52524.1,,115590,81735.1,40519.3,,,,,,,44510.8,,,,,,,,,,,,,,72772.4,,136637,69826,,,,
Q9CZ69,CKLF6_MOUSE,Cmtm6,CKLF-like MARVEL transmembrane domain-containing protein 6,3,3,,,,,,36298.1,,,,27794.2,,,,,,,,,,,,,747212,,,,,,,38543.3,35212.4,,,,,,,,49937.2,,,,
Q9D6G9,CKLF5_MOUSE,Cmtm5,CKLF-like MARVEL transmembrane domain-containing protein 5,5,5,,218908,,186054,920407,742257,,270765,667764,436139,,248937,498091,289589,,,,379027,,,,,2.15E+06,,,,,,,,,,,,,,,,,,,,
Q8CJ61,CKLF4_MOUSE,Cmtm4,CKLF-like MARVEL transmembrane domain-containing protein 4,3,3,,,,151629,536063,459666,,370243,509272,692961,,361798,,914216,,970811,1.46E+06,396913,,,,,58761,,,,,70230.5,,,,,,,,,,,281057,,,,
Q9DAC0,CLF2B_MOUSE,Cmtm2b,CKLF-like MARVEL transmembrane domain-containing protein 2B,2,2,,,,,,,,,,,,,,,,,,,,,,395766,,,,,,,,,,,,,,,,,219995,,,,
Q9DAR1,CLF2A_MOUSE,Cmtm2a,CKLF-like MARVEL transmembrane domain-containing protein 2A,1,1,,,,,,,,,,,,,,,,,,,,,,367200,,,,,,,,,,,,,,,,,,,,,
Q3U5Q7,CMPK2_MOUSE,Cmpk2,"UMP-CMP kinase 2, mitochondrial",10,10,117881,93173.6,138582,187315,,82582.8,,201926,,80297.5,,215403,,309037,,,,176756,56517.7,79457.1,195031,,204605,82444,573252,,,,898237,270095,187455,,,,,115444,,,48831.8,,,,
Q9DBP5,KCY_MOUSE,Cmpk1,UMP-CMP kinase,18,17,817037,594691,967669,1.16E+06,,376234,1.76E+06,1.03E+06,,464814,1.90E+06,1.52E+06,,613875,2.18E+06,273857,457318,627670,1.05E+06,1.39E+06,1.24E+06,,808610,2.54E+06,1.38E+06,575349,,784395,2.13E+06,2.41E+06,1.18E+06,,,,706156,1.21E+06,197022,651543,456543,,335796,342174,
Q9D486,CMIP_MOUSE,Cmip,C-Maf-inducing protein,6,6,,230292,,147286,117950,435382,,92690.4,,205743,,137417,,901506,,41434.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8K199,COXM2_MOUSE,Cmc2,COX assembly mitochondrial protein 2 homolog,2,2,62652.9,,146013,37765.5,,,,71853.6,,,,52093.1,,,,,,,354207,146383,101563,,,298706,,575774,,,,,,,,,,,740919,,,,,,
Q9CPZ8,COXM1_MOUSE,Cmc1,COX assembly mitochondrial protein homolog,2,2,526206,184027,690707,289442,,,,260187,,,,417307,,200285,,,264307,942519,790075,918651,1.31E+06,,,3.02E+06,,470956,,1.29E+06,,,110694,1.23E+06,954721,2.83E+06,,1.76E+06,1.85E+06,,,,,,
Q8R1G2,CMBL_MOUSE,Cmbl,Carboxymethylenebutenolidase homolog,12,12,,,,,,,46378.9,85503,,125788,61375.9,99824.2,,,101591,,,,,46529.8,,,341058,410943,624189,128875,,,1.82E+06,1.48E+06,364103,,,,823927,348843,,379504,190455,,,,
A0A0R4J0B4,A0A0R4J0B4_MOUSE,Cmas,N-acylneuraminate cytidylyltransferase,22,22,4.56E+06,2.99E+06,2.04E+06,,,6.72E+06,438057,,,7.67E+06,387155,,,3.53E+06,384458,2.66E+06,3.11E+06,2.34E+06,4.48E+06,2.76E+06,4.95E+06,9.61E+06,756967,199329,,,,2.10E+06,914566,,519328,,,,,2.97E+06,3.04E+06,,,,,,
A4QPC5,A4QPC5_MOUSE,Cma1,"Chymase 1, mast cell",2,2,,,,,,,,,,,,,,,,,,295044,,,,176322,290636,,,,,,,,,,,,,,,,,,,,
Q8R4N0,CLYBL_MOUSE,Clybl,"Citramalyl-CoA lyase, mitochondrial",26,26,,187921,373699,647056,,57451.9,,492050,,129502,,589332,,,,132704,265645,255645,325434,353517,624913,,923745,2.78E+06,,1.37E+06,,784260,,4.15E+06,221853,,,,,384984,306772,212246,1.06E+06,,,,
Q8BG92,CLVS2_MOUSE,Clvs2,Clavesin-2,5,5,,,,30970,,81787.5,66436.7,22093.3,,84597.5,60146.7,45645.2,,23177.4,63229.8,21620.8,24230.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9D4C9,CLVS1_MOUSE,Clvs1,Clavesin-1,11,9,311740,245866,218828,288705,,350284,266582,200296,,372029,317254,371710,,414717,276320,278874,272735,,,,,,122890,,,,,,,,,,,,,,,,,,,,
A0A0R4J140,A0A0R4J140_MOUSE,Cluh,Clustered mitochondria protein homolog,28,28,,,,,152894,68960.8,71069.3,,,46738.3,93825,53378.2,,72947.7,57656.4,,,,,,,69885.3,,,265290,,,,1.03E+06,460587,,,,,,103194,,218615,85950.5,504945,615601,229057,
Q8R3P7,CLUA1_MOUSE,Cluap1,Clusterin-associated protein 1,9,4,,,,,,,,,,,,,,,,,,,,,,82291.9,,,,,,,,,,,,,,,,111769,71966.7,,,,
Q06890,CLUS_MOUSE,Clu,Clusterin,23,23,531874,525202,620194,515348,,278814,323582,528840,,375202,368669,640809,,289220,353347,280672,811774,580723,996668,805585,788434,856702,995856,957913,284929,,,513343,268723,154446,2.50E+06,,,,683715,636234,1.81E+06,2.22E+06,3.02E+06,,,,
Q9ESG4,CLTRN_MOUSE,Cltrn,Collectrin,6,6,,,,,,,,,,,,,,,,,,,,,,,,189901,,,,,,2.14E+06,,,,,,690793,,,424864,,,,
Q68FD5,CLH1_MOUSE,Cltc,Clathrin heavy chain 1,138,138,5.69E+06,8.06E+06,4.21E+06,2.68E+07,1.28E+07,2.40E+07,1.13E+07,2.57E+07,6.72E+06,2.45E+07,1.30E+07,3.20E+07,5.26E+06,2.26E+07,1.04E+07,6.37E+06,6.25E+06,1.54E+07,978480,1.61E+06,2.49E+06,5.50E+06,1.26E+07,1.86E+06,1.54E+07,1.31E+07,,5.23E+06,5.52E+06,6.29E+06,8.67E+06,1.77E+06,698266,2.43E+06,8.66E+06,1.29E+07,1.49E+06,6.17E+06,9.61E+06,,4.69E+06,1.86E+06,
Q6IRU5,CLCB_MOUSE,Cltb,Clathrin light chain B,22,22,1.23E+06,1.04E+06,1.14E+06,3.40E+06,,,1.27E+06,3.50E+06,,210732,1.60E+06,4.52E+06,,524336,1.35E+06,4.76E+06,7.52E+06,4.96E+06,1.08E+06,958808,597242,5.10E+06,2.19E+06,2.74E+06,,,,1.44E+06,,,1.38E+06,834131,729766,1.71E+06,1.12E+06,5.62E+06,324952,,254475,,,,
B1AWE0;Q6PFA2,B1AWE0_MOUSE;Q6PFA2_MOUSE,Clta,Clathrin light chain,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576542,,,,,,
O08585,CLCA_MOUSE,Clta,Clathrin light chain A,21,21,1.86E+06,1.49E+06,1.99E+06,3.24E+06,183797,551039,1.15E+06,3.99E+06,338954,573996,1.48E+06,4.26E+06,,365678,1.33E+06,876092,591287,3.21E+06,522582,338784,560440,2.06E+06,1.30E+06,880028,,830779,,487167,,155638,1.01E+06,1.41E+06,1.42E+06,3.59E+06,1.02E+06,8.29E+06,369374,469202,888455,,,,
Q99JH7,CSTN3_MOUSE,Clstn3,Calsyntenin-3,11,11,,,,31589.4,112003,78971.8,,35548.7,109132,92233,,45633.2,114176,92253.8,,,16835.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9EPL2,CSTN1_MOUSE,Clstn1,Calsyntenin-1,18,18,,,259293,196770,1.49E+06,176624,154526,196357,1.64E+06,284544,191803,238677,1.52E+06,460970,178957,166250,165738,,,164831,176960,,,,,535565,,,,,,,,,,,,,,,,,
Q9JHS4,CLPX_MOUSE,Clpx,"ATP-dependent clpX-like chaperone, mitochondrial",21,21,,,,424693,,417380,,234062,,276685,,230183,,166636,,,,452999,271882,362644,277433,481964,318397,2.56E+06,,789105,,645584,,2.19E+06,404022,,,,,887226,1.10E+06,,1.61E+06,,,,
Q8BXA5,CLP1L_MOUSE,Clptm1l,Lipid scramblase CLPTM1L,7,7,,,,56866.2,,355573,,59787.8,30184.2,314805,,57156.1,,84189.2,,,,,,,,,,,,,,,,66651.7,,,,,,,,104624,445682,,,,
Q8VBZ3,CLPT1_MOUSE,Clptm1,Putative lipid scramblase CLPTM1,15,15,,51569.2,,210914,159299,332651,,171462,146276,379470,,200791,90900,272169,,118986,,218323,,,,161096,346660,,,197279,,,,382925,127630,,,,,134866,,,459589,,191579,268744,
O88696,CLPP_MOUSE,Clpp,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",12,12,,215563,244429,391066,,250723,,365785,,191414,,513210,,369929,,151370,240645,434484,168312,202352,181889,,608928,735798,,,,307369,,2.27E+06,330818,,,,,481909,469688,,1.34E+06,,,1.05E+06,
Q60649,CLPB_MOUSE,Clpb,Mitochondrial disaggregase,21,21,420646,355586,223914,117463,,171541,,173781,,240963,,133648,,335439,,231976,170775,391947,485934,403580,377528,310941,258092,228310,,,,486363,,345959,,,,,,669197,514315,,678656,,,,
Q99LI9,CLP1_MOUSE,Clp1,Polyribonucleotide 5'-hydroxyl-kinase Clp1,2,2,,,,,,25772.3,,,,,,,,66408.9,,,,,,,,159239,,,,,,,,,,,,,,22181.7,,,,,,,
O08785,CLOCK_MOUSE,Clock,Circadian locomoter output cycles protein kaput,4,3,,,,,,9088.97,,,,10668.2,,,,28545.3,,20760.4,11289,,,,,43805.7,,,,,,,,,,,,,,,,,,,,,
Q923F1,Q923F1_MOUSE,Clns1a,Methylosome subunit pICln,5,5,,,,57344.5,,,82515.4,50181.3,,,117463,41887.5,,,79562.5,,,,,42416.6,,,,37271.6,65644.6,,,,,54239.3,54757.7,,,,,,,480432,157355,,,,
Q9QUK3,CLN8_MOUSE,Cln8,Protein CLN8,2,2,,,,,,83145,,,,84106.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3U466;D6RE34,D6RE34_MOUSE;Q3U466_MOUSE,Cln6,"Ceroid-lipofuscinosis, neuronal 6",1,1,,,,,,313152,,,,305408,,,,239832,,139779,87102.9,465170,,,,3.08E+06,,,,,,,,,,,,,,244034,,,34550,,,,
Q8R373,CLMP_MOUSE,Clmp,CXADR-like membrane protein,1,1,,,,,,,,,,,,,,60197.6,,110834,104381,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8C5W0,CLMN_MOUSE,Clmn,Calmin,28,28,342509,370312,250790,105875,923328,739764,,101379,826500,780192,,93778.4,650774,594714,,662001,889422,1.03E+06,,,,2.29E+06,,131252,,,,288722,,279684,,335643,,,,1.57E+06,,306277,583031,,,,
O35492,CLK3_MOUSE,Clk3,Dual specificity protein kinase CLK3,5,5,,,,,,83294.6,,,,114440,,,,,,,,,,,,84496.5,,,,,,,,,,,,,,,,,,,,,
Q8CI96,CLIP4_MOUSE,Clip4,CAP-Gly domain-containing linker protein 4,2,2,,,,,,96186.6,,,,,,,,61713.6,,,,,,,,724485,,,,,,,,,,,,,,,,,,,,,
B9EHT4,CLIP3_MOUSE,Clip3,CAP-Gly domain-containing linker protein 3,10,10,63341.8,45676.5,,37439.6,,73458.6,,51664.2,,100592,,44638.5,,78326.2,,58674.9,55057.4,,,23899.2,,,,,,,,,,,,,,,,,,,,,,,
Q9Z0H8,CLIP2_MOUSE,Clip2,CAP-Gly domain-containing linker protein 2,79,79,2.70E+06,2.26E+06,2.48E+06,107157,2.26E+06,651367,191654,131691,2.04E+06,882861,204017,233649,2.07E+06,724132,158198,2.60E+06,2.95E+06,891156,3.62E+06,3.20E+06,3.34E+06,515453,317708,114621,757775,781948,,955826,490276,,,1.17E+06,1.60E+06,1.54E+06,,190790,,,,,,,
D3Z2Z1,D3Z2Z1_MOUSE,Clip1,CAP-GLY domain containing linker protein 1,92,80,1.78E+06,1.74E+06,1.65E+06,127109,1.27E+06,210498,181251,178933,289002,219265,218735,220662,229616,340510,159970,863435,1.18E+06,285819,1.40E+06,1.37E+06,1.20E+06,307860,,227837,343135,,,282688,,,426231,585689,734020,866978,,297344,390262,193122,103522,,,,
F7CB97,F7CB97_MOUSE,Clip1,CAP-GLY domain containing linker protein 1 (Fragment),2,2,,,,,,,,,,,,,,,,,,,,,,82628.7,,,,,,,,,,,,,,,,,,,,,
Q5SUH6,Q5SUH6_MOUSE,Clint1,Clathrin interactor 1,25,25,,135039,157568,172043,119525,93857.9,115316,221355,231259,93731.9,131613,232159,508711,133037,104673,238636,296342,339156,183574,147398,201045,277823,139054,444507,,,,196313,90258.2,204303,345999,,,,,1.10E+06,288651,268377,424934,,,,
A0A668KLB7,A0A668KLB7_MOUSE,Clic5,Chloride intracellular channel protein,24,22,,425889,,,,265826,,,,464369,,,,201507,,,107355,1.70E+06,,,,,,6.13E+06,,,,1.27E+06,,1.18E+06,7.99E+06,,,,1.46E+06,5.12E+06,523830,,223969,,,,
Q9QYB1,CLIC4_MOUSE,Clic4,Chloride intracellular channel protein 4,18,18,,193032,,246980,,244071,,238531,,396659,,239517,,507607,,65321.7,199018,405188,,169495,148930,,373931,861939,977307,1.69E+06,,473792,1.50E+06,2.41E+06,3.46E+06,,,,,1.28E+06,,802990,424728,,,,
Q9D7P7,CLIC3_MOUSE,Clic3,Chloride intracellular channel protein 3,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46E+06,,,,,,,,,,,,
Q9Z1Q5,CLIC1_MOUSE,Clic1,Chloride intracellular channel protein 1,10,10,,,,,,672744,234809,92702.9,,247373,291339,252537,,,289249,,,,,,,,2.84E+06,2.94E+06,7.49E+06,1.37E+06,,612317,2.28E+07,1.12E+07,8.27E+06,,,1.46E+06,5.86E+06,1.21E+06,876276,6.39E+06,3.31E+06,,,,
P52194,CLGN_MOUSE,Clgn,Calmegin,33,33,,,,,296949,290635,,,,,,,,,,,,,,,,4.80E+06,354083,,5.31E+06,3.90E+06,,,,420083,,,,,,,6.12E+06,1.61E+06,1.43E+07,,,,
P43025,TETN_MOUSE,Clec3b,Tetranectin,2,2,,,,,,,,,,,,,,,,,,,,,,,,28647.8,,,,,,,72550.3,,,,389112,,,,,,,,
A0A0N4SVZ3;Q8C634,A0A0N4SVZ3_MOUSE;Q8C634_MOUSE,Clec2m,"C-type lectin domain family 2, member m (Fragment)",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56989.9,,,,
P0C7M9,CLC2L_MOUSE,Clec2l,C-type lectin domain family 2 member L,4,4,,,,46113.7,,155063,,68268.8,,,,64735.7,,49465.3,,,,,,,,,349165,,,,,,,,,,,,,,,,,,,,
Q91V08,CLC2D_MOUSE,Clec2d,C-type lectin domain family 2 member D,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101252,,,,,,,,,,,,
Q80U30,CL16A_MOUSE,Clec16a,Protein CLEC16A,7,7,,,,,238751,,,,216446,,,28463.5,186962,,,,,,,,,,,,,,,,,,58208.4,,,,,,,,,,,,
Q8VCP9,CLC14_MOUSE,Clec14a,C-type lectin domain family 14 member A,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261321,,,,,,,,,,,,
Q149M0,CL12B_MOUSE,Clec12b,C-type lectin domain family 12 member B,2,2,,,,,,,,,,,,,,,,,,,,,,363043,,,,,,,,,,,,,,,417786,,265874,,,,
P49300,CLC10_MOUSE,Clec10a,C-type lectin domain family 10 member A,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138755,153565,,,,1.89E+06,,,,113872,,,,
Q9CQX5,CLDN1_MOUSE,Cldnd1,Claudin domain-containing protein 1,6,6,,,,,,583216,,,,504785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O54942,CLD5_MOUSE,Cldn5,Claudin-5,1,1,,,,,,,,,,,,,,,,,,,,,,,254593,,,,,,,,1.41E+06,,,,,,,,,,,,
Q3V0X2,Q3V0X2_MOUSE,Cldn34b4,4930428D18Rik protein,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10660.1,,,,
Q9Z0G9,CLD3_MOUSE,Cldn3,Claudin-3,2,2,,,,,,,,,,,,,,,,,,,,,,5.46E+06,,,,,,,,,,,,,,,,,1.87E+06,,,,
O88552,CLD2_MOUSE,Cldn2,Claudin-2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662950,,,,,,774214,,,,,,,
Q9ET38,CLD19_MOUSE,Cldn19,Claudin-19,2,2,,,,,,,,,,,,,,,,,,,,,,,2.07E+06,,,,,,,,,,,,,,,,,,,,
P56857,CLD18_MOUSE,Cldn18,Claudin-18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541242,,,,,,,,,,,,
Q9ET43,CLD12_MOUSE,Cldn12,Claudin-12,3,3,,249095,,,,1.98E+06,,,,3.56E+06,,,,8.81E+06,,4.87E+06,3.68E+06,643290,,,,,,,,,,,,,,,,,,567676,,,,,,,
Q60771,CLD11_MOUSE,Cldn11,Claudin-11,2,2,888740,430840,517135,,,1.22E+06,,,,772419,,,,1.23E+07,,294702,308106,796313,,,,,5.19E+06,,,,,605633,,,,8.24E+06,864419,,,,,,133524,,,,
Q9Z0S6,CLD10_MOUSE,Cldn10,Claudin-10,4,4,,,,103665,,548583,,155394,,791206,,161253,,1.59E+06,,97793.1,105227,191826,,,,,,,,,,,,,,,,,,213255,,,,,,,
Q9WUB6,CLCKB_MOUSE,Clcnkb,Chloride channel protein ClC-Kb,2,0,,,,,,,,,,,,,,,,,,254186,,,,,,,,,,,,,,,,,,242276,,,,,,,
O70496,CLCN7_MOUSE,Clcn7,H(+)/Cl(-) exchange transporter 7,11,11,,,,,,132280,,,,111635,,,,96038.6,,82724.4,90629.2,,,,,94098.2,,,,,,,,92709.5,,,,,,82723.2,,,164446,,,,
O35454,CLCN6_MOUSE,Clcn6,H(+)/Cl(-) exchange transporter 6,14,14,,,,57184.7,111139,268818,,72208,101855,411253,,112816,75277.1,296379,,,105373,168017,,,,,,,,169711,,,,,,,,,,,,,,,,,
Q61418,CLCN4_MOUSE,Clcn4,H(+)/Cl(-) exchange transporter 4,10,8,,,,85342.8,211434,235695,,92721,194053,274646,,75394.4,143531,157367,,77708.1,76595.8,,,,,,80310.5,,,,,,,,,,,,,47649.1,,,,,,80578.7,
A0A6Q6Q7B9,A0A6Q6Q7B9_MOUSE,Clcn3,Chloride channel protein,11,11,,,,90608.7,195502,156342,,80410.3,183022,208721,,60252.1,171506,178587,,137455,153884,73481.9,,,,,,,,,,,,,,,,,,,,,27853.9,,,,
Q8K4W8,Q8K4W8_MOUSE,Clcn3,Chloride channel protein,1,1,,,,,,,,,,,,,,100455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9R0A1,CLCN2_MOUSE,Clcn2,Chloride channel protein 2,14,14,,,,,,153628,,17680.8,,200201,,,,148961,,129055,131411,185084,,,,214961,85509.3,,,,,,,,,,,,,,,,68926.8,,,,
Q99LI2,CLCC1_MOUSE,Clcc1,Chloride channel CLIC-like protein 1,10,10,,,,,,78962.8,,,,62214.7,,,,,,36603.6,,,,,,131016,,,,,,,,,74595,,,,,134009,,,213378,,,,
F7DCH5,F7DCH5_MOUSE,Clasp2,CLIP associating protein 2,85,78,2.60E+06,4.14E+06,1.22E+06,317805,2.62E+06,3.59E+06,187719,421651,1.72E+06,3.80E+06,231309,498504,1.56E+06,5.29E+06,177426,3.56E+06,4.12E+06,2.93E+06,646605,702809,850705,969260,619163,,500039,655317,,807708,302531,,165690,623449,,,,493180,,245278,,,,,
Q8BRT1,CLAP2_MOUSE,Clasp2,CLIP-associating protein 2,1,1,264306,1.26E+06,,,486588,3.84E+06,,,185420,3.51E+06,,,355478,1.36E+06,,5.06E+06,4.68E+06,2.85E+06,,,94981.3,1.61E+06,,,,,,,,,,,,,,284289,,,,,,,
Q8BSE7,Q8BSE7_MOUSE,Clasp2,CLIP associating protein 2,1,1,,,,,,34068.2,,,,20124.7,,,,,,,,,,,,,,,,,,,,,11175,,,,,,,21348.6,,,,,
A0A087WQ31,A0A087WQ31_MOUSE,Clasp1,CLIP-associating protein 1,66,65,1.69E+06,1.55E+06,974474,150184,820363,1.77E+06,205412,334423,352353,1.86E+06,150380,165464,,2.07E+06,,1.21E+06,1.15E+06,1.05E+06,,175416,264291,912354,806736,,,,,,,,498412,,,,,213256,,421779,,,,,
Q6P8J7,KCRS_MOUSE,Ckmt2,"Creatine kinase S-type, mitochondrial",19,19,,,,,,,,820729,,,204873,,,,,,,2.01E+06,,,,844165,6.91E+06,,1.15E+06,1.56E+06,,4.09E+06,,,921422,,,,2.01E+07,,,311086,,,,,
P30275,KCRU_MOUSE,Ckmt1,"Creatine kinase U-type, mitochondrial",36,32,1.30E+07,1.37E+07,1.81E+07,1.14E+07,599631,6.84E+06,2.12E+06,1.02E+07,,8.21E+06,2.44E+06,1.43E+07,590700,9.38E+06,1.47E+06,4.92E+06,5.09E+06,1.09E+07,3.42E+07,3.34E+07,3.20E+07,1.09E+06,6.94E+06,9.46E+06,9.32E+06,1.44E+07,,3.73E+07,2.19E+06,5.26E+06,662849,2.72E+06,2.70E+06,6.62E+06,2.18E+06,2.49E+06,1.50E+06,720267,590018,,,,
P07310,KCRM_MOUSE,Ckm,Creatine kinase M-type,36,33,,,,3.67E+06,,110317,2.84E+06,3.75E+06,,,3.61E+06,4.23E+06,,,3.15E+06,,,5.56E+06,4.42E+06,1.89E+06,4.24E+06,588609,3.44E+07,,2.52E+07,4.59E+06,,7.28E+06,,,1.53E+07,,,,4.31E+08,,,219399,,,1.61E+07,1.07E+07,5.21E+06
